channel,actual_spend,attributed_rev,actual_roas,adstock_decay,hill_alpha,hill_gamma,coefficient,pct_of_revenue
google_brand_search,2766274.57,13667193.4,4.9406,0.5,3.0,0.4,154340.453872,0.2485
google_display_pmax,1876690.97,5499124.7,2.9302,0.5,3.0,0.3,57804.423445,0.1
google_nonbrand_search,2764825.93,7418974.34,2.6833,0.5,2.5,0.3,80178.617025,0.1349
google_remarketing,1905973.07,13146916.97,6.8977,0.5,3.0,0.3,140376.051763,0.2391
meta_other,3671985.74,3085467.84,0.8403,0.5,3.0,0.5,36222.99435,0.0561
meta_prospecting,1818791.73,0.0,0.0,0.5,3.0,0.4,0.0,0.0
meta_retargeting,1782078.72,3067518.97,1.7213,0.4,3.0,0.3,31146.322621,0.0558
