channel,first_touch_conversions,first_touch_revenue,last_touch_conversions,last_touch_revenue,linear_conversions,linear_revenue,time_decay_conversions,time_decay_revenue,u_shape_conversions,u_shape_revenue,markov_conversions,markov_revenue,markov_weight,markov_removal_effect,shapley_conversions,shapley_revenue,shapley_weight,shapley_raw_value
Affiliate,510.0,86879.45,510.0,86879.45,510.0,86879.45,510.0,86879.45,510.0,86879.45,663.72,109313.33,0.1683,0.0104,877.75,144564.86,0.2226,-0.012336
Direct,466.0,75693.46,466.0,75693.46,466.0,75693.46,466.0,75693.46,466.0,75693.46,306.33,50452.31,0.0777,0.0048,374.98,61758.73,0.0951,-0.013597
Email,476.0,78564.56,476.0,78564.56,476.0,78564.56,476.0,78564.56,476.0,78564.56,408.44,67269.74,0.1036,0.0064,1358.95,223817.29,0.3446,-0.011129
Organic Search,493.0,83669.81,493.0,83669.81,493.0,83669.81,493.0,83669.81,493.0,83669.81,51.06,8408.72,0.0129,0.0008,427.17,70354.06,0.1083,-0.013466
Paid Search,993.0,160943.42,993.0,160943.42,993.0,160943.42,993.0,160943.42,993.0,160943.42,970.05,159765.64,0.246,0.0152,0.0,0.0,0.0,-0.014538
Paid Social,1006.0,163822.76,1006.0,163822.76,1006.0,163822.76,1006.0,163822.76,1006.0,163822.76,1544.41,254363.72,0.3916,0.0242,905.16,149078.52,0.2295,-0.012267
